chapter,image,id
R-Ladies Perth,https://yt3.ggpht.com/ytc/AKedOLSjG4RFF2e3_sYVv1OnEZbhQ55u8Aa6BGzE9rVv=s176-c-k-c0x00ffffff-no-rj-mo,UCoL2FUq0Yo3RcjGG0Vf2qmg
R-Ladies Goiânia,https://yt3.ggpht.com/MGVdIJWD64bMg2EzQhrldQREi6iGwQ-Cn6BF8pIvV5ezjMjsJ_djGUkMESB2BC8l7MkRaToKKw=s800-c-k-c0x00ffffff-no-rj,UCvt6lv8yMrBV8YgsAoQykHw
R-Ladies Barcelona,https://yt3.ggpht.com/ytc/AKedOLTNqFew26_RpFF0MVkQFfrxHIGdm9wNQWa1YdFt=s176-c-k-c0x00ffffff-no-rj-mo,UCEw9Q55DDo1OIHrb_V5r-KA
R-Ladies Lausanne,https://yt3.ggpht.com/ytc/AKedOLSQCmOT3CmiJJ0vwVPrj9ajj67x1Da_6XFJlNM=s176-c-k-c0x00ffffff-no-rj-mo,UCgmESmRO796bbzOxFNPtXWw
R-Ladies Abuja,https://yt3.ggpht.com/ytc/AKedOLSQm6z6BhfGdvq0mrcC6LvifnU7HKCFHaMRfvzF=s176-c-k-c0x00ffffff-no-rj-mo,UCktFo5XoX5QZMWb2Gb3KY2A
R-Ladies Querétaro,https://yt3.ggpht.com/ytc/AKedOLSia-KbbJtSp1Nb_XohunFqtBN7hgjafWMkjrBZ=s176-c-k-c0x00ffffff-no-rj-mo,UCrT2YmRak5iRXI_-RyXtEuA
R-Ladies Gaborone,https://yt3.ggpht.com/YYPJDW2c5v8tVKoRjvZrgC3VX3ABHhNZJqaZs9Xam4YKKOMPw_fCcYShDOoSUJ5EUzKOuMhH=s800-c-k-c0x00ffffff-no-rj,UCO5Aa1E7pSh5w2pxPgkPDog
R-Ladies Medellin,https://yt3.ggpht.com/ytc/AKedOLRdLG0EwzDm_FNaQr-Vh7Yif4I9yCbDYMRpMfFt=s176-c-k-c0x00ffffff-no-rj-mo,UC8yKJ1YfBipuyzvn4ciaNRQ
R-Ladies Rio,https://yt3.ggpht.com/ytc/AKedOLRR2dgacmRorcvtGfO9kp6CLw3HduahgrQ8HwW_=s176-c-k-c0x00ffffff-no-rj-mo,UCGwTYiK7vTePhPpDRgQAq_A
R-Ladies San José CR,https://yt3.ggpht.com/ggWxV7KTaRJ6OktAK8xD02FQew8Ez0_i6_hV4ljEwgzzJNpy88Hc44i_dlqOXTaxx5QsuilB=s800-c-k-c0x00ffffff-no-rj,UCF4fux_L7cMhA4ojOx8B1HQ
R-Ladies Xalapa,https://yt3.ggpht.com/nxUmReG8RACY-OT2Aqc260oVv4uQobvZS5RqhJGpK4BJFhLS-xJjB-A8GNPA1yIcijbD6Khc-z4=s800-c-k-c0x00ffffff-no-rj,UCxk3XVMK_-dYf8di9_AzypA
R-Ladies Niterói,https://yt3.ggpht.com/ytc/AKedOLRIqkJ7mhAe-YoGipoYx6wd3n0OPJ7GbgjHg-j5=s176-c-k-c0x00ffffff-no-rj-mo,UCPPJGnA5GWIppotd_gbRqXA
R-Ladies Ribeirão Preto,https://yt3.ggpht.com/ytc/AKedOLRW8Ln9F57JxRudoxlqeDgBsGkLwrJU_dMX7XrO=s176-c-k-c0x00ffffff-no-rj-mo,UCmxRvwPXXLdcv_lWkIqB1yA
R-Ladies Rome,https://yt3.ggpht.com/kDZSMcv7bYztFHy0KiXUdAS2nEIDw2MxYSvo5WlZnotygg-Y6G6a9XaBJ6axav0shyKBgg3Q=s800-c-k-c0x00ffffff-no-rj,UC_wQkMyfveB_06_AWqlHxAw
R-Ladies Rabat,https://yt3.googleusercontent.com/VYLxRn3pyrW7M2iB4itADcwxNHxTrc1A3qQj2cE5OuNyBLU7U_ydxtXeyOlEW3_Syf_Rv_oHXA=s160-c-k-c0x00ffffff-no-rj, UC71A3VDo0iIA9ryWTsbgmug
